,0,1,2,3
0,5094,,,
1,29904,,,
2,331,,,
3,33497,,,
4,24627,,,
5,379,,,
6,57655,,,
7,10839,,,
8,7192,,,
9,22664,,,
10,31719,,,
11,11093,,,
12,10988,,,
13,53039,,,
14,16231,,,
15,54575,,,
16,6868,,,
17,16285,,,
18,20518,,,
19,36896,,,
20,690,,,
21,1960,,,
22,34849,,,
23,1134,,,
24,50877,,,
25,30466,,,
26,37829,,,
27,1692,,,
28,7605,,,
29,48964,,,
30,10775,,,
31,32733,,,
32,10826,,,
33,3861,,,
34,26968,,,
35,42533,,,
36,9866,,,
37,1376,,,
38,6206,,,
39,46008,,,
40,56860,,,
41,25273,,,
42,3886,,,
43,9688,,,
44,26102,,,
45,36458,,,
46,5555,,,
47,1786,,,
48,55900,,,
49,1704,,,
50,261,,,
51,4579,,,
52,55451,,,
53,544,,,
54,16451,,,
55,639,,,
56,9090,,,
57,12881,,,
58,37193,,,
59,2272,,,
60,29692,,,
61,43940,,,
62,12694,,,
63,18511,,,
64,47972,,,
65,38701,,,
66,5305,,,
67,48488,,,
68,9720,,,
69,1328,,,
70,18832,,,
71,38424,,,
72,4068,,,
73,32885,,,
74,252,,,
75,47451,,,
76,2999,,,
77,14769,,,
78,995,,,
79,5681,,,
80,28453,,,
81,41001,,,
82,1537,,,
83,255,,,
84,5631,,,
85,27133,,,
86,1559,,,
87,42381,,,
88,37,,,
89,34788,,,
90,14298,,,
91,44519,,,
92,8127,,,
93,8351,,,
94,1078,,,
95,24479,,,
96,302,,,
97,15060,,,
98,2666,,,
99,51563,,,
100,29241,,,
101,10480,,,
102,37077,,,
103,34820,,,
104,2066,,,
105,32839,,,
106,10265,,,
107,12518,,,
108,17354,,,
109,14267,,,
110,2676,,,
111,12549,,,
112,1340,,,
113,19815,,,
114,18807,,,
115,1966,,,
116,500,,,
117,22739,,,
118,49227,,,
119,1749,,,
120,42197,,,
121,59,,,
122,6261,,,
123,46307,,,
124,12514,,,
125,4195,,,
126,11616,,,
127,21036,,,
128,37956,,,
129,437,,,
130,14826,,,
131,43824,,,
132,15839,,,
133,19963,,,
134,43126,,,
135,58202,,,
136,15899,,,
137,12028,,,
138,59769,,,
139,33068,,,
140,34570,,,
141,11764,,,
142,33242,,,
143,438,495.0,,
144,14202,,,
145,4339,,,
146,1735,,,
147,4403,,,
148,11098,,,
149,2571,,,
150,31434,,,
151,24117,,,
152,53578,,,
153,1871,,,
154,11408,,,
155,8423,,,
156,50057,,,
157,40630,,,
158,40583,,,
159,9257,,,
160,45403,,,
161,5830,,,
162,9796,,,
163,45521,,,
164,27400,,,
165,43240,,,
166,1082,,,
167,16424,,,
168,6251,,,
169,33419,,,
170,1823,,,
171,47019,,,
172,31095,,,
173,2187,,,
174,27906,,,
175,29234,,,
176,33811,33989.0,,
177,2175,,,
178,37010,,,
179,40613,,,
180,7242,,,
181,117,,,
182,8437,,,
183,15732,,,
184,26252,,,
185,11686,,,
186,23895,,,
187,3090,,,
188,9371,,,
189,29005,,,
190,50851,,,
191,12054,,,
192,20414,,,
193,6468,,,
194,19591,,,
195,1773,,,
196,40946,,,
197,22952,,,
198,14534,,,
199,106,,,
200,22685,,,
201,6088,,,
202,31523,,,
203,40988,,,
204,38736,,,
205,36926,,,
206,550,,,
207,8455,,,
208,991,,,
209,2021,,,
210,229,,,
211,42925,,,
212,10451,,,
213,8631,,,
214,3715,,,
215,29501,,,
216,12312,,,
217,9324,,,
218,45582,,,
219,28865,,,
220,44719,,,
221,4185,,,
222,11879,,,
223,35048,,,
224,2259,,,
225,25830,,,
226,27149,,,
227,11450,,,
228,715,,,
229,11638,,,
230,6687,,,
231,34652,,,
232,4879,,,
233,54693,,,
234,43695,,,
235,4564,,,
236,49343,,,
237,12058,,,
238,2240,,,
239,24884,,,
240,6170,,,
241,24777,,,
242,29703,,,
243,9057,,,
244,59680,,,
245,2722,,,
246,25169,,,
247,2331,,,
248,10738,,,
249,54712,,,
250,23059,,,
251,3928,,,
252,52232,,,
253,63,,,
254,3888,,,
255,14612,,,
256,1266,,,
257,9828,,,
258,23975,,,
259,22249,,,
260,9490,,,
261,1853,,,
262,4504,,,
263,9375,,,
264,42843,42997.0,,
265,49,,,
266,12705,,,
267,1707,,,
268,33,,,
269,15432,,,
270,9249,,,
271,3788,,,
272,523,,,
273,17653,,,
274,26195,,,
275,29449,,,
276,12034,,,
277,16849,,,
278,34932,,,
279,5774,,,
280,1859,,,
281,10281,,,
282,52,,,
283,9543,,,
284,51002,,,
285,2687,,,
286,45203,,,
287,19449,,,
288,30505,,,
289,52814,,,
290,44532,,,
291,84,,,
292,45047,,,
293,43015,,,
294,3719,,,
295,53432,,,
296,4624,,,
297,137,,,
298,25272,,,
299,28085,,,
300,28237,,,
301,27236,,,
302,15664,,,
303,1443,,,
304,4981,,,
305,32975,,,
306,22386,,,
307,16362,,,
308,3997,,,
309,19665,,,
310,29079,,,
311,17718,17872.0,,
312,25439,,,
313,31646,,,
314,20190,,,
315,15869,,,
316,3201,,,
317,34171,58673.0,,
318,924,,,
319,22475,,,
320,30513,,,
321,15964,,,
322,28789,,,
323,31391,,,
324,1447,,,
325,47247,,,
326,2121,,,
327,328,377.0,,
328,12926,,,
329,45127,,,
